"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-11-16 00:00:00.000","0","Saturday","Weekend","46","November","Q4: Oct - Dec","16","62"
"Dublin Central","2024-11-16 01:00:00.000","1","Saturday","Weekend","46","November","Q4: Oct - Dec","16","1"
"Dublin Central","2024-11-16 02:00:00.000","2","Saturday","Weekend","46","November","Q4: Oct - Dec","16","0"
"Dublin Central","2024-11-16 03:00:00.000","3","Saturday","Weekend","46","November","Q4: Oct - Dec","16","0"
"Dublin Central","2024-11-16 04:00:00.000","4","Saturday","Weekend","46","November","Q4: Oct - Dec","16","0"
"Dublin Central","2024-11-16 05:00:00.000","5","Saturday","Weekend","46","November","Q4: Oct - Dec","16","22"
"Dublin Central","2024-11-16 06:00:00.000","6","Saturday","Weekend","46","November","Q4: Oct - Dec","16","45"
"Dublin Central","2024-11-16 07:00:00.000","7","Saturday","Weekend","46","November","Q4: Oct - Dec","16","47"
"Dublin Central","2024-11-16 08:00:00.000","8","Saturday","Weekend","46","November","Q4: Oct - Dec","16","60"
"Dublin Central","2024-11-16 09:00:00.000","9","Saturday","Weekend","46","November","Q4: Oct - Dec","16","119"
"Dublin Central","2024-11-16 10:00:00.000","10","Saturday","Weekend","46","November","Q4: Oct - Dec","16","169"
"Dublin Central","2024-11-16 11:00:00.000","11","Saturday","Weekend","46","November","Q4: Oct - Dec","16","162"
"Dublin Central","2024-11-16 12:00:00.000","12","Saturday","Weekend","46","November","Q4: Oct - Dec","16","191"
"Dublin Central","2024-11-16 13:00:00.000","13","Saturday","Weekend","46","November","Q4: Oct - Dec","16","167"
"Dublin Central","2024-11-16 14:00:00.000","14","Saturday","Weekend","46","November","Q4: Oct - Dec","16","177"
"Dublin Central","2024-11-16 15:00:00.000","15","Saturday","Weekend","46","November","Q4: Oct - Dec","16","193"
"Dublin Central","2024-11-16 16:00:00.000","16","Saturday","Weekend","46","November","Q4: Oct - Dec","16","183"
"Dublin Central","2024-11-16 17:00:00.000","17","Saturday","Weekend","46","November","Q4: Oct - Dec","16","174"
"Dublin Central","2024-11-16 18:00:00.000","18","Saturday","Weekend","46","November","Q4: Oct - Dec","16","142"
"Dublin Central","2024-11-16 19:00:00.000","19","Saturday","Weekend","46","November","Q4: Oct - Dec","16","131"
"Dublin Central","2024-11-16 20:00:00.000","20","Saturday","Weekend","46","November","Q4: Oct - Dec","16","121"
"Dublin Central","2024-11-16 21:00:00.000","21","Saturday","Weekend","46","November","Q4: Oct - Dec","16","87"
"Dublin Central","2024-11-16 22:00:00.000","22","Saturday","Weekend","46","November","Q4: Oct - Dec","16","71"
"Dublin Central","2024-11-16 23:00:00.000","23","Saturday","Weekend","46","November","Q4: Oct - Dec","16","109"
"Dublin Central","2024-11-17 00:00:00.000","0","Sunday","Weekend","46","November","Q4: Oct - Dec","17","52"
"Dublin Central","2024-11-17 01:00:00.000","1","Sunday","Weekend","46","November","Q4: Oct - Dec","17","3"
"Dublin Central","2024-11-17 02:00:00.000","2","Sunday","Weekend","46","November","Q4: Oct - Dec","17","1"
"Dublin Central","2024-11-17 03:00:00.000","3","Sunday","Weekend","46","November","Q4: Oct - Dec","17","0"
"Dublin Central","2024-11-17 04:00:00.000","4","Sunday","Weekend","46","November","Q4: Oct - Dec","17","0"
"Dublin Central","2024-11-17 05:00:00.000","5","Sunday","Weekend","46","November","Q4: Oct - Dec","17","37"
"Dublin Central","2024-11-17 06:00:00.000","6","Sunday","Weekend","46","November","Q4: Oct - Dec","17","55"
"Dublin Central","2024-11-17 07:00:00.000","7","Sunday","Weekend","46","November","Q4: Oct - Dec","17","83"
"Dublin Central","2024-11-17 08:00:00.000","8","Sunday","Weekend","46","November","Q4: Oct - Dec","17","96"
"Dublin Central","2024-11-17 09:00:00.000","9","Sunday","Weekend","46","November","Q4: Oct - Dec","17","106"
"Dublin Central","2024-11-17 10:00:00.000","10","Sunday","Weekend","46","November","Q4: Oct - Dec","17","163"
"Dublin Central","2024-11-17 11:00:00.000","11","Sunday","Weekend","46","November","Q4: Oct - Dec","17","154"
"Dublin Central","2024-11-17 12:00:00.000","12","Sunday","Weekend","46","November","Q4: Oct - Dec","17","148"
"Dublin Central","2024-11-17 13:00:00.000","13","Sunday","Weekend","46","November","Q4: Oct - Dec","17","164"
"Dublin Central","2024-11-17 14:00:00.000","14","Sunday","Weekend","46","November","Q4: Oct - Dec","17","138"
"Dublin Central","2024-11-17 15:00:00.000","15","Sunday","Weekend","46","November","Q4: Oct - Dec","17","108"
"Dublin Central","2024-11-17 16:00:00.000","16","Sunday","Weekend","46","November","Q4: Oct - Dec","17","116"
"Dublin Central","2024-11-17 17:00:00.000","17","Sunday","Weekend","46","November","Q4: Oct - Dec","17","96"
"Dublin Central","2024-11-17 18:00:00.000","18","Sunday","Weekend","46","November","Q4: Oct - Dec","17","108"
"Dublin Central","2024-11-17 19:00:00.000","19","Sunday","Weekend","46","November","Q4: Oct - Dec","17","51"
"Dublin Central","2024-11-17 20:00:00.000","20","Sunday","Weekend","46","November","Q4: Oct - Dec","17","43"
"Dublin Central","2024-11-17 21:00:00.000","21","Sunday","Weekend","46","November","Q4: Oct - Dec","17","54"
"Dublin Central","2024-11-17 22:00:00.000","22","Sunday","Weekend","46","November","Q4: Oct - Dec","17","82"
"Dublin Central","2024-11-17 23:00:00.000","23","Sunday","Weekend","46","November","Q4: Oct - Dec","17","37"
"Dublin Central","2024-11-18 00:00:00.000","0","Monday","Weekday","47","November","Q4: Oct - Dec","18","24"
"Dublin Central","2024-11-18 01:00:00.000","1","Monday","Weekday","47","November","Q4: Oct - Dec","18","0"
"Dublin Central","2024-11-18 02:00:00.000","2","Monday","Weekday","47","November","Q4: Oct - Dec","18","0"
"Dublin Central","2024-11-18 03:00:00.000","3","Monday","Weekday","47","November","Q4: Oct - Dec","18","0"
"Dublin Central","2024-11-18 04:00:00.000","4","Monday","Weekday","47","November","Q4: Oct - Dec","18","0"
"Dublin Central","2024-11-18 05:00:00.000","5","Monday","Weekday","47","November","Q4: Oct - Dec","18","81"
"Dublin Central","2024-11-18 06:00:00.000","6","Monday","Weekday","47","November","Q4: Oct - Dec","18","122"
"Dublin Central","2024-11-18 07:00:00.000","7","Monday","Weekday","47","November","Q4: Oct - Dec","18","152"
"Dublin Central","2024-11-18 08:00:00.000","8","Monday","Weekday","47","November","Q4: Oct - Dec","18","299"
"Dublin Central","2024-11-18 09:00:00.000","9","Monday","Weekday","47","November","Q4: Oct - Dec","18","256"
"Dublin Central","2024-11-18 10:00:00.000","10","Monday","Weekday","47","November","Q4: Oct - Dec","18","141"
"Dublin Central","2024-11-18 11:00:00.000","11","Monday","Weekday","47","November","Q4: Oct - Dec","18","94"
"Dublin Central","2024-11-18 12:00:00.000","12","Monday","Weekday","47","November","Q4: Oct - Dec","18","112"
"Dublin Central","2024-11-18 13:00:00.000","13","Monday","Weekday","47","November","Q4: Oct - Dec","18","90"
"Dublin Central","2024-11-18 14:00:00.000","14","Monday","Weekday","47","November","Q4: Oct - Dec","18","74"
"Dublin Central","2024-11-18 15:00:00.000","15","Monday","Weekday","47","November","Q4: Oct - Dec","18","83"
"Dublin Central","2024-11-18 16:00:00.000","16","Monday","Weekday","47","November","Q4: Oct - Dec","18","172"
"Dublin Central","2024-11-18 17:00:00.000","17","Monday","Weekday","47","November","Q4: Oct - Dec","18","191"
"Dublin Central","2024-11-18 18:00:00.000","18","Monday","Weekday","47","November","Q4: Oct - Dec","18","120"
"Dublin Central","2024-11-18 19:00:00.000","19","Monday","Weekday","47","November","Q4: Oct - Dec","18","91"
"Dublin Central","2024-11-18 20:00:00.000","20","Monday","Weekday","47","November","Q4: Oct - Dec","18","56"
"Dublin Central","2024-11-18 21:00:00.000","21","Monday","Weekday","47","November","Q4: Oct - Dec","18","30"
"Dublin Central","2024-11-18 22:00:00.000","22","Monday","Weekday","47","November","Q4: Oct - Dec","18","52"
"Dublin Central","2024-11-18 23:00:00.000","23","Monday","Weekday","47","November","Q4: Oct - Dec","18","31"
"Dublin Central","2024-11-19 00:00:00.000","0","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","11"
"Dublin Central","2024-11-19 01:00:00.000","1","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","0"
"Dublin Central","2024-11-19 02:00:00.000","2","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","0"
"Dublin Central","2024-11-19 03:00:00.000","3","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","0"
"Dublin Central","2024-11-19 04:00:00.000","4","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","0"
"Dublin Central","2024-11-19 05:00:00.000","5","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","31"
"Dublin Central","2024-11-19 06:00:00.000","6","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","109"
"Dublin Central","2024-11-19 07:00:00.000","7","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","182"
"Dublin Central","2024-11-19 08:00:00.000","8","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","292"
"Dublin Central","2024-11-19 09:00:00.000","9","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","244"
"Dublin Central","2024-11-19 10:00:00.000","10","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","140"
"Dublin Central","2024-11-19 11:00:00.000","11","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","72"
"Dublin Central","2024-11-19 12:00:00.000","12","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","124"
"Dublin Central","2024-11-19 13:00:00.000","13","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","175"
"Dublin Central","2024-11-19 14:00:00.000","14","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","138"
"Dublin Central","2024-11-19 15:00:00.000","15","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","124"
"Dublin Central","2024-11-19 16:00:00.000","16","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","282"
"Dublin Central","2024-11-19 17:00:00.000","17","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","316"
"Dublin Central","2024-11-19 18:00:00.000","18","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","255"
"Dublin Central","2024-11-19 19:00:00.000","19","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","151"
"Dublin Central","2024-11-19 20:00:00.000","20","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","127"
"Dublin Central","2024-11-19 21:00:00.000","21","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","107"
"Dublin Central","2024-11-19 22:00:00.000","22","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","90"
"Dublin Central","2024-11-19 23:00:00.000","23","Tuesday","Weekday","47","November","Q4: Oct - Dec","19","60"
"Dublin Central","2024-11-20 00:00:00.000","0","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","12"
"Dublin Central","2024-11-20 01:00:00.000","1","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","0"
"Dublin Central","2024-11-20 02:00:00.000","2","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","0"
"Dublin Central","2024-11-20 03:00:00.000","3","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","0"
"Dublin Central","2024-11-20 04:00:00.000","4","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","0"
"Dublin Central","2024-11-20 05:00:00.000","5","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","62"
"Dublin Central","2024-11-20 06:00:00.000","6","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","152"
"Dublin Central","2024-11-20 07:00:00.000","7","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","161"
"Dublin Central","2024-11-20 08:00:00.000","8","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","346"
"Dublin Central","2024-11-20 09:00:00.000","9","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","273"
"Dublin Central","2024-11-20 10:00:00.000","10","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","161"
"Dublin Central","2024-11-20 11:00:00.000","11","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","147"
"Dublin Central","2024-11-20 12:00:00.000","12","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","231"
"Dublin Central","2024-11-20 13:00:00.000","13","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","272"
"Dublin Central","2024-11-20 14:00:00.000","14","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","178"
"Dublin Central","2024-11-20 15:00:00.000","15","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","143"
"Dublin Central","2024-11-20 16:00:00.000","16","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","266"
"Dublin Central","2024-11-20 17:00:00.000","17","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","310"
"Dublin Central","2024-11-20 18:00:00.000","18","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","262"
"Dublin Central","2024-11-20 19:00:00.000","19","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","174"
"Dublin Central","2024-11-20 20:00:00.000","20","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","101"
"Dublin Central","2024-11-20 21:00:00.000","21","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","104"
"Dublin Central","2024-11-20 22:00:00.000","22","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","83"
"Dublin Central","2024-11-20 23:00:00.000","23","Wednesday","Weekday","47","November","Q4: Oct - Dec","20","63"
"Dublin Central","2024-11-21 00:00:00.000","0","Thursday","Weekday","47","November","Q4: Oct - Dec","21","14"
"Dublin Central","2024-11-21 01:00:00.000","1","Thursday","Weekday","47","November","Q4: Oct - Dec","21","0"
"Dublin Central","2024-11-21 02:00:00.000","2","Thursday","Weekday","47","November","Q4: Oct - Dec","21","0"
"Dublin Central","2024-11-21 03:00:00.000","3","Thursday","Weekday","47","November","Q4: Oct - Dec","21","0"
"Dublin Central","2024-11-21 04:00:00.000","4","Thursday","Weekday","47","November","Q4: Oct - Dec","21","0"
"Dublin Central","2024-11-21 05:00:00.000","5","Thursday","Weekday","47","November","Q4: Oct - Dec","21","72"
"Dublin Central","2024-11-21 06:00:00.000","6","Thursday","Weekday","47","November","Q4: Oct - Dec","21","114"
"Dublin Central","2024-11-21 07:00:00.000","7","Thursday","Weekday","47","November","Q4: Oct - Dec","21","174"
"Dublin Central","2024-11-21 08:00:00.000","8","Thursday","Weekday","47","November","Q4: Oct - Dec","21","317"
"Dublin Central","2024-11-21 09:00:00.000","9","Thursday","Weekday","47","November","Q4: Oct - Dec","21","282"
"Dublin Central","2024-11-21 10:00:00.000","10","Thursday","Weekday","47","November","Q4: Oct - Dec","21","168"
"Dublin Central","2024-11-21 11:00:00.000","11","Thursday","Weekday","47","November","Q4: Oct - Dec","21","143"
"Dublin Central","2024-11-21 12:00:00.000","12","Thursday","Weekday","47","November","Q4: Oct - Dec","21","208"
"Dublin Central","2024-11-21 13:00:00.000","13","Thursday","Weekday","47","November","Q4: Oct - Dec","21","225"
"Dublin Central","2024-11-21 14:00:00.000","14","Thursday","Weekday","47","November","Q4: Oct - Dec","21","189"
"Dublin Central","2024-11-21 15:00:00.000","15","Thursday","Weekday","47","November","Q4: Oct - Dec","21","164"
"Dublin Central","2024-11-21 16:00:00.000","16","Thursday","Weekday","47","November","Q4: Oct - Dec","21","241"
"Dublin Central","2024-11-21 17:00:00.000","17","Thursday","Weekday","47","November","Q4: Oct - Dec","21","322"
"Dublin Central","2024-11-21 18:00:00.000","18","Thursday","Weekday","47","November","Q4: Oct - Dec","21","242"
"Dublin Central","2024-11-21 19:00:00.000","19","Thursday","Weekday","47","November","Q4: Oct - Dec","21","151"
"Dublin Central","2024-11-21 20:00:00.000","20","Thursday","Weekday","47","November","Q4: Oct - Dec","21","123"
"Dublin Central","2024-11-21 21:00:00.000","21","Thursday","Weekday","47","November","Q4: Oct - Dec","21","83"
"Dublin Central","2024-11-21 22:00:00.000","22","Thursday","Weekday","47","November","Q4: Oct - Dec","21","77"
"Dublin Central","2024-11-21 23:00:00.000","23","Thursday","Weekday","47","November","Q4: Oct - Dec","21","70"
"Dublin Central","2024-11-22 00:00:00.000","0","Friday","Weekday","47","November","Q4: Oct - Dec","22","18"
"Dublin Central","2024-11-22 01:00:00.000","1","Friday","Weekday","47","November","Q4: Oct - Dec","22","0"
"Dublin Central","2024-11-22 02:00:00.000","2","Friday","Weekday","47","November","Q4: Oct - Dec","22","0"
"Dublin Central","2024-11-22 03:00:00.000","3","Friday","Weekday","47","November","Q4: Oct - Dec","22","0"
"Dublin Central","2024-11-22 04:00:00.000","4","Friday","Weekday","47","November","Q4: Oct - Dec","22","0"
"Dublin Central","2024-11-22 05:00:00.000","5","Friday","Weekday","47","November","Q4: Oct - Dec","22","66"
"Dublin Central","2024-11-22 06:00:00.000","6","Friday","Weekday","47","November","Q4: Oct - Dec","22","83"
"Dublin Central","2024-11-22 07:00:00.000","7","Friday","Weekday","47","November","Q4: Oct - Dec","22","162"
"Dublin Central","2024-11-22 08:00:00.000","8","Friday","Weekday","47","November","Q4: Oct - Dec","22","248"
"Dublin Central","2024-11-22 09:00:00.000","9","Friday","Weekday","47","November","Q4: Oct - Dec","22","221"
"Dublin Central","2024-11-22 10:00:00.000","10","Friday","Weekday","47","November","Q4: Oct - Dec","22","130"
"Dublin Central","2024-11-22 11:00:00.000","11","Friday","Weekday","47","November","Q4: Oct - Dec","22","120"
"Dublin Central","2024-11-22 12:00:00.000","12","Friday","Weekday","47","November","Q4: Oct - Dec","22","182"
"Dublin Central","2024-11-22 13:00:00.000","13","Friday","Weekday","47","November","Q4: Oct - Dec","22","229"
"Dublin Central","2024-11-22 14:00:00.000","14","Friday","Weekday","47","November","Q4: Oct - Dec","22","189"
"Dublin Central","2024-11-22 15:00:00.000","15","Friday","Weekday","47","November","Q4: Oct - Dec","22","180"
"Dublin Central","2024-11-22 16:00:00.000","16","Friday","Weekday","47","November","Q4: Oct - Dec","22","201"
"Dublin Central","2024-11-22 17:00:00.000","17","Friday","Weekday","47","November","Q4: Oct - Dec","22","193"
"Dublin Central","2024-11-22 18:00:00.000","18","Friday","Weekday","47","November","Q4: Oct - Dec","22","204"
"Dublin Central","2024-11-22 19:00:00.000","19","Friday","Weekday","47","November","Q4: Oct - Dec","22","184"
"Dublin Central","2024-11-22 20:00:00.000","20","Friday","Weekday","47","November","Q4: Oct - Dec","22","158"
"Dublin Central","2024-11-22 21:00:00.000","21","Friday","Weekday","47","November","Q4: Oct - Dec","22","105"
"Dublin Central","2024-11-22 22:00:00.000","22","Friday","Weekday","47","November","Q4: Oct - Dec","22","93"
"Dublin Central","2024-11-22 23:00:00.000","23","Friday","Weekday","47","November","Q4: Oct - Dec","22","36"
"Dublin Central","2024-11-23 00:00:00.000","0","Saturday","Weekend","47","November","Q4: Oct - Dec","23","56"
"Dublin Central","2024-11-23 01:00:00.000","1","Saturday","Weekend","47","November","Q4: Oct - Dec","23","93"
"Dublin Central","2024-11-23 02:00:00.000","2","Saturday","Weekend","47","November","Q4: Oct - Dec","23","44"
"Dublin Central","2024-11-23 03:00:00.000","3","Saturday","Weekend","47","November","Q4: Oct - Dec","23","10"
"Dublin Central","2024-11-23 04:00:00.000","4","Saturday","Weekend","47","November","Q4: Oct - Dec","23","0"
"Dublin Central","2024-11-23 05:00:00.000","5","Saturday","Weekend","47","November","Q4: Oct - Dec","23","11"
"Dublin Central","2024-11-23 06:00:00.000","6","Saturday","Weekend","47","November","Q4: Oct - Dec","23","22"
"Dublin Central","2024-11-23 07:00:00.000","7","Saturday","Weekend","47","November","Q4: Oct - Dec","23","38"
"Dublin Central","2024-11-23 08:00:00.000","8","Saturday","Weekend","47","November","Q4: Oct - Dec","23","45"
"Dublin Central","2024-11-23 09:00:00.000","9","Saturday","Weekend","47","November","Q4: Oct - Dec","23","73"
"Dublin Central","2024-11-23 10:00:00.000","10","Saturday","Weekend","47","November","Q4: Oct - Dec","23","98"
"Dublin Central","2024-11-23 11:00:00.000","11","Saturday","Weekend","47","November","Q4: Oct - Dec","23","134"
"Dublin Central","2024-11-23 12:00:00.000","12","Saturday","Weekend","47","November","Q4: Oct - Dec","23","172"
"Dublin Central","2024-11-23 13:00:00.000","13","Saturday","Weekend","47","November","Q4: Oct - Dec","23","166"
"Dublin Central","2024-11-23 14:00:00.000","14","Saturday","Weekend","47","November","Q4: Oct - Dec","23","175"
"Dublin Central","2024-11-23 15:00:00.000","15","Saturday","Weekend","47","November","Q4: Oct - Dec","23","168"
"Dublin Central","2024-11-23 16:00:00.000","16","Saturday","Weekend","47","November","Q4: Oct - Dec","23","166"
"Dublin Central","2024-11-23 17:00:00.000","17","Saturday","Weekend","47","November","Q4: Oct - Dec","23","174"
"Dublin Central","2024-11-23 18:00:00.000","18","Saturday","Weekend","47","November","Q4: Oct - Dec","23","112"
"Dublin Central","2024-11-23 19:00:00.000","19","Saturday","Weekend","47","November","Q4: Oct - Dec","23","117"
"Dublin Central","2024-11-23 20:00:00.000","20","Saturday","Weekend","47","November","Q4: Oct - Dec","23","91"
"Dublin Central","2024-11-23 21:00:00.000","21","Saturday","Weekend","47","November","Q4: Oct - Dec","23","54"
"Dublin Central","2024-11-23 22:00:00.000","22","Saturday","Weekend","47","November","Q4: Oct - Dec","23","31"
"Dublin Central","2024-11-23 23:00:00.000","23","Saturday","Weekend","47","November","Q4: Oct - Dec","23","70"
"Dublin Central","2024-11-24 00:00:00.000","0","Sunday","Weekend","47","November","Q4: Oct - Dec","24","34"
"Dublin Central","2024-11-24 01:00:00.000","1","Sunday","Weekend","47","November","Q4: Oct - Dec","24","1"
"Dublin Central","2024-11-24 02:00:00.000","2","Sunday","Weekend","47","November","Q4: Oct - Dec","24","0"
"Dublin Central","2024-11-24 03:00:00.000","3","Sunday","Weekend","47","November","Q4: Oct - Dec","24","0"
"Dublin Central","2024-11-24 04:00:00.000","4","Sunday","Weekend","47","November","Q4: Oct - Dec","24","0"
"Dublin Central","2024-11-24 05:00:00.000","5","Sunday","Weekend","47","November","Q4: Oct - Dec","24","8"
"Dublin Central","2024-11-24 06:00:00.000","6","Sunday","Weekend","47","November","Q4: Oct - Dec","24","46"
"Dublin Central","2024-11-24 07:00:00.000","7","Sunday","Weekend","47","November","Q4: Oct - Dec","24","47"
"Dublin Central","2024-11-24 08:00:00.000","8","Sunday","Weekend","47","November","Q4: Oct - Dec","24","84"
"Dublin Central","2024-11-24 09:00:00.000","9","Sunday","Weekend","47","November","Q4: Oct - Dec","24","127"
"Dublin Central","2024-11-24 10:00:00.000","10","Sunday","Weekend","47","November","Q4: Oct - Dec","24","142"
"Dublin Central","2024-11-24 11:00:00.000","11","Sunday","Weekend","47","November","Q4: Oct - Dec","24","157"
"Dublin Central","2024-11-24 12:00:00.000","12","Sunday","Weekend","47","November","Q4: Oct - Dec","24","155"
"Dublin Central","2024-11-24 13:00:00.000","13","Sunday","Weekend","47","November","Q4: Oct - Dec","24","168"
"Dublin Central","2024-11-24 14:00:00.000","14","Sunday","Weekend","47","November","Q4: Oct - Dec","24","175"
"Dublin Central","2024-11-24 15:00:00.000","15","Sunday","Weekend","47","November","Q4: Oct - Dec","24","151"
"Dublin Central","2024-11-24 16:00:00.000","16","Sunday","Weekend","47","November","Q4: Oct - Dec","24","159"
"Dublin Central","2024-11-24 17:00:00.000","17","Sunday","Weekend","47","November","Q4: Oct - Dec","24","123"
"Dublin Central","2024-11-24 18:00:00.000","18","Sunday","Weekend","47","November","Q4: Oct - Dec","24","116"
"Dublin Central","2024-11-24 19:00:00.000","19","Sunday","Weekend","47","November","Q4: Oct - Dec","24","94"
"Dublin Central","2024-11-24 20:00:00.000","20","Sunday","Weekend","47","November","Q4: Oct - Dec","24","67"
"Dublin Central","2024-11-24 21:00:00.000","21","Sunday","Weekend","47","November","Q4: Oct - Dec","24","47"
"Dublin Central","2024-11-24 22:00:00.000","22","Sunday","Weekend","47","November","Q4: Oct - Dec","24","63"
"Dublin Central","2024-11-24 23:00:00.000","23","Sunday","Weekend","47","November","Q4: Oct - Dec","24","58"
"Dublin Central","2024-11-25 00:00:00.000","0","Monday","Weekday","48","November","Q4: Oct - Dec","25","22"
"Dublin Central","2024-11-25 01:00:00.000","1","Monday","Weekday","48","November","Q4: Oct - Dec","25","0"
"Dublin Central","2024-11-25 02:00:00.000","2","Monday","Weekday","48","November","Q4: Oct - Dec","25","0"
"Dublin Central","2024-11-25 03:00:00.000","3","Monday","Weekday","48","November","Q4: Oct - Dec","25","0"
"Dublin Central","2024-11-25 04:00:00.000","4","Monday","Weekday","48","November","Q4: Oct - Dec","25","0"
"Dublin Central","2024-11-25 05:00:00.000","5","Monday","Weekday","48","November","Q4: Oct - Dec","25","66"
"Dublin Central","2024-11-25 06:00:00.000","6","Monday","Weekday","48","November","Q4: Oct - Dec","25","135"
"Dublin Central","2024-11-25 07:00:00.000","7","Monday","Weekday","48","November","Q4: Oct - Dec","25","170"
"Dublin Central","2024-11-25 08:00:00.000","8","Monday","Weekday","48","November","Q4: Oct - Dec","25","330"
"Dublin Central","2024-11-25 09:00:00.000","9","Monday","Weekday","48","November","Q4: Oct - Dec","25","258"
"Dublin Central","2024-11-25 10:00:00.000","10","Monday","Weekday","48","November","Q4: Oct - Dec","25","139"
"Dublin Central","2024-11-25 11:00:00.000","11","Monday","Weekday","48","November","Q4: Oct - Dec","25","134"
"Dublin Central","2024-11-25 12:00:00.000","12","Monday","Weekday","48","November","Q4: Oct - Dec","25","233"
"Dublin Central","2024-11-25 13:00:00.000","13","Monday","Weekday","48","November","Q4: Oct - Dec","25","201"
"Dublin Central","2024-11-25 14:00:00.000","14","Monday","Weekday","48","November","Q4: Oct - Dec","25","168"
"Dublin Central","2024-11-25 15:00:00.000","15","Monday","Weekday","48","November","Q4: Oct - Dec","25","162"
"Dublin Central","2024-11-25 16:00:00.000","16","Monday","Weekday","48","November","Q4: Oct - Dec","25","223"
"Dublin Central","2024-11-25 17:00:00.000","17","Monday","Weekday","48","November","Q4: Oct - Dec","25","329"
"Dublin Central","2024-11-25 18:00:00.000","18","Monday","Weekday","48","November","Q4: Oct - Dec","25","232"
"Dublin Central","2024-11-25 19:00:00.000","19","Monday","Weekday","48","November","Q4: Oct - Dec","25","141"
"Dublin Central","2024-11-25 20:00:00.000","20","Monday","Weekday","48","November","Q4: Oct - Dec","25","105"
"Dublin Central","2024-11-25 21:00:00.000","21","Monday","Weekday","48","November","Q4: Oct - Dec","25","91"
"Dublin Central","2024-11-25 22:00:00.000","22","Monday","Weekday","48","November","Q4: Oct - Dec","25","79"
"Dublin Central","2024-11-25 23:00:00.000","23","Monday","Weekday","48","November","Q4: Oct - Dec","25","32"
"Dublin Central","2024-11-26 00:00:00.000","0","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","10"
"Dublin Central","2024-11-26 01:00:00.000","1","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","0"
"Dublin Central","2024-11-26 02:00:00.000","2","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","0"
"Dublin Central","2024-11-26 03:00:00.000","3","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","0"
"Dublin Central","2024-11-26 04:00:00.000","4","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","0"
"Dublin Central","2024-11-26 05:00:00.000","5","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","57"
"Dublin Central","2024-11-26 06:00:00.000","6","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","107"
"Dublin Central","2024-11-26 07:00:00.000","7","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","224"
"Dublin Central","2024-11-26 08:00:00.000","8","Tuesday","Weekday","48","November","Q4: Oct - Dec","26","363"
