"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-05-05 01:00:00.000","1","Sunday","Weekend","18","May","Q2: Apr - Jun","5","0"
"Dublin Central","2024-05-05 02:00:00.000","2","Sunday","Weekend","18","May","Q2: Apr - Jun","5","0"
"Dublin Central","2024-05-05 03:00:00.000","3","Sunday","Weekend","18","May","Q2: Apr - Jun","5","0"
"Dublin Central","2024-05-05 04:00:00.000","4","Sunday","Weekend","18","May","Q2: Apr - Jun","5","13"
"Dublin Central","2024-05-05 05:00:00.000","5","Sunday","Weekend","18","May","Q2: Apr - Jun","5","36"
"Dublin Central","2024-05-05 06:00:00.000","6","Sunday","Weekend","18","May","Q2: Apr - Jun","5","45"
"Dublin Central","2024-05-05 07:00:00.000","7","Sunday","Weekend","18","May","Q2: Apr - Jun","5","76"
"Dublin Central","2024-05-05 08:00:00.000","8","Sunday","Weekend","18","May","Q2: Apr - Jun","5","85"
"Dublin Central","2024-05-05 09:00:00.000","9","Sunday","Weekend","18","May","Q2: Apr - Jun","5","110"
"Dublin Central","2024-05-05 10:00:00.000","10","Sunday","Weekend","18","May","Q2: Apr - Jun","5","123"
"Dublin Central","2024-05-05 11:00:00.000","11","Sunday","Weekend","18","May","Q2: Apr - Jun","5","147"
"Dublin Central","2024-05-05 12:00:00.000","12","Sunday","Weekend","18","May","Q2: Apr - Jun","5","169"
"Dublin Central","2024-05-05 13:00:00.000","13","Sunday","Weekend","18","May","Q2: Apr - Jun","5","233"
"Dublin Central","2024-05-05 14:00:00.000","14","Sunday","Weekend","18","May","Q2: Apr - Jun","5","226"
"Dublin Central","2024-05-05 15:00:00.000","15","Sunday","Weekend","18","May","Q2: Apr - Jun","5","172"
"Dublin Central","2024-05-05 16:00:00.000","16","Sunday","Weekend","18","May","Q2: Apr - Jun","5","167"
"Dublin Central","2024-05-05 17:00:00.000","17","Sunday","Weekend","18","May","Q2: Apr - Jun","5","164"
"Dublin Central","2024-05-05 18:00:00.000","18","Sunday","Weekend","18","May","Q2: Apr - Jun","5","149"
"Dublin Central","2024-05-05 19:00:00.000","19","Sunday","Weekend","18","May","Q2: Apr - Jun","5","96"
"Dublin Central","2024-05-05 20:00:00.000","20","Sunday","Weekend","18","May","Q2: Apr - Jun","5","83"
"Dublin Central","2024-05-05 21:00:00.000","21","Sunday","Weekend","18","May","Q2: Apr - Jun","5","93"
"Dublin Central","2024-05-05 22:00:00.000","22","Sunday","Weekend","18","May","Q2: Apr - Jun","5","78"
"Dublin Central","2024-05-05 23:00:00.000","23","Sunday","Weekend","18","May","Q2: Apr - Jun","5","63"
"Dublin Central","2024-05-06 00:00:00.000","0","Monday","Weekday","19","May","Q2: Apr - Jun","6","0"
"Dublin Central","2024-05-06 01:00:00.000","1","Monday","Weekday","19","May","Q2: Apr - Jun","6","0"
"Dublin Central","2024-05-06 02:00:00.000","2","Monday","Weekday","19","May","Q2: Apr - Jun","6","0"
